Month-Year,SENADOR,VALOR_REEMBOLSADO,Contagem_Mes
2009-04-01,ADELMIR SANTANA,424.81,1
2009-04-01,ALMEIDA LIMA,10221.32,1
2009-04-01,ALOIZIO MERCADANTE,11746.93,1
2009-04-01,ANTONIO CARLOS JUNIOR,11335.6,1
2009-04-01,ANTÔNIO CARLOS VALADARES,12970.0,1
2009-04-01,ARTHUR VIRGÍLIO,14280.0,1
2009-04-01,AUGUSTO BOTELHO,13235.25,1
2009-04-01,CRISTOVAM BUARQUE,5783.35,1
2009-04-01,CÉSAR BORGES,15642.34,1
2009-04-01,CÍCERO LUCENA,14844.33,1
2009-04-01,DELCIDIO DO AMARAL,14976.449999999999,1
2009-04-01,DEMÓSTENES TORRES,15000.0,1
2009-04-01,EDUARDO AZEREDO,14268.18,1
2009-04-01,EDUARDO SUPLICY,2280.62,1
2009-04-01,EFRAIM MORAIS,5179.14,1
2009-04-01,ELISEU RESENDE,15625.49,1
2009-04-01,EPITÁCIO CAFETEIRA,12067.439999999999,1
2009-04-01,EXPEDITO JUNIOR,12710.55,1
2009-04-01,FERNANDO COLLOR,14225.32,1
2009-04-01,FLEXA RIBEIRO,15050.14,1
2009-04-01,FLÁVIO ARNS,7719.2699999999995,1
2009-04-01,FRANCISCO DORNELLES,15000.94,1
2009-04-01,FÁTIMA CLEIDE,16477.46,1
2009-04-01,GARIBALDI ALVES FILHO,9599.57,1
2009-04-01,GERALDO MESQUITA JÚNIOR,14653.15,1
2009-04-01,GERSON CAMATA,3770.33,1
2009-04-01,GILBERTO GOELLNER,14464.32,1
2009-04-01,GILVAM BORGES,15000.0,1
2009-04-01,GIM ARGELLO,2000.0,1
2009-04-01,HERÁCLITO FORTES,8883.36,1
2009-04-01,IDELI SALVATTI,14804.23,1
2009-04-01,INÁCIO ARRUDA,12843.67,1
2009-04-01,JARBAS VASCONCELOS,15214.95,1
2009-04-01,JAYME CAMPOS,10638.2,1
2009-04-01,JOSÉ AGRIPINO,10111.7,1
2009-04-01,JOSÉ NERY,13387.369999999999,1
2009-04-01,JOSÉ SARNEY,3600.0,1
2009-04-01,JOÃO DURVAL,7819.24,1
2009-04-01,JOÃO PEDRO,4551.37,1
2009-04-01,JOÃO RIBEIRO,30086.2,1
2009-04-01,JOÃO VICENTE CLAUDINO,14674.56,1
2009-04-01,KÁTIA ABREU,15048.42,1
2009-04-01,LEOMAR QUINTANILHA,3676.07,1
2009-04-01,LOBÃO FILHO,14885.0,1
2009-04-01,LÚCIA VÂNIA,14719.78,1
2009-04-01,MAGNO MALTA,10301.3,1
2009-04-01,MARCELO CRIVELLA,13033.88,1
2009-04-01,MARCONI PERILLO,14994.970000000001,1
2009-04-01,MARIA DO CARMO ALVES,3423.6099999999997,1
2009-04-01,MARINA SILVA,6681.52,1
2009-04-01,MARISA SERRANO,10777.57,1
2009-04-01,MOZARILDO CAVALCANTI,10818.26,1
2009-04-01,MÁRIO COUTO,11471.47,1
2009-04-01,MÃO SANTA,14549.36,1
2009-04-01,NEUTO DE CONTO,12447.58,1
2009-04-01,OSMAR DIAS,14187.189999999999,1
2009-04-01,PAPALÉO PAES,5000.0,1
2009-04-01,PATRÍCIA SABOYA GOMES,14550.62,1
2009-04-01,PAULO DUQUE,12815.630000000001,1
2009-04-01,PAULO PAIM,12616.689999999999,1
2009-04-01,RAIMUNDO COLOMBO,15000.0,1
2009-04-01,RENAN CALHEIROS,6414.62,1
2009-04-01,RENATO CASAGRANDE,15748.53,1
